"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-20 ~ 2024-09-19"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"102","인천광역시 부평구 청천동","397","0397","0000","동양","40.5600","202408","28","10,000","-","1","개인","개인","1982","안남로417번길 35","-","중개거래","인천 부평구","-"
"103","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","84.8500","202408","28","44,000","-","15","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"104","인천광역시 부평구 산곡동","307","0307","0000","현대1차","108.5600","202408","28","45,000","-","1","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"105","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"106","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","20240829","중개거래","인천 부평구","-"
"107","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","59.9376","202408","28","39,000","-","15","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"108","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202408","28","41,700","-","8","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"109","인천광역시 부평구 십정동","607","0607","0000","동암신동아","59.8000","202408","28","25,800","-","14","개인","개인","2000","아트센터로 118","-","중개거래","인천 부평구","-"
"110","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","73.9600","202408","28","24,000","-","1","개인","개인","1989","부영로 165","-","중개거래","인천 부평구","-"
"111","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","41.3000","202408","27","15,500","-","2","개인","개인","1992","굴포로 81","-","중개거래","인천 부평구","-"
"112","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","27","100,000","-","18","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"113","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","27","45,500","-","15","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"114","인천광역시 부평구 부개동","477-5","0477","0005","동아","49.2000","202408","27","31,500","-","6","개인","개인","1988","길주남로113번길 12","-","중개거래","인천 부평구","-"
"115","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202408","27","40,700","-","4","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"116","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","84.8700","202408","27","55,000","-","6","개인","개인","1988","부평문화로 37","-","중개거래","인천 부평구","-"
"117","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9680","202408","27","65,000","-","18","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"118","인천광역시 부평구 산곡동","43-1","0043","0001","수암","44.8200","202408","27","35,650","-","4","개인","개인","1988","마장로361번길 15","-","중개거래","인천 부평구","-"
"119","인천광역시 부평구 산곡동","222","0222","0000","한신휴","59.9460","202408","27","34,000","-","15","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","-"
"120","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","84.3700","202408","27","65,000","-","16","개인","개인","2011","안남로 269","-","중개거래","인천 부평구","-"
"121","인천광역시 부평구 청천동","300","0300","0000","삼익","52.3800","202408","26","19,800","-","4","개인","개인","1986","부평대로167번길 43","-","중개거래","인천 부평구","-"
"122","인천광역시 부평구 부개동","477-5","0477","0005","동아","40.1400","202408","26","25,700","-","5","개인","개인","1988","길주남로113번길 12","-","중개거래","인천 부평구","-"
"123","인천광역시 부평구 부개동","120-347","0120","0347","동산","59.9500","202408","26","10,400","-","4","개인","기타","1984","수변로107번길 35","-","중개거래","인천 부평구","-"
"124","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202408","26","24,400","-","10","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"125","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9710","202408","26","61,500","-","13","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"126","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","84.9600","202408","26","28,900","-","17","개인","개인","1991","부흥로123번길 36","-","중개거래","경기 부천시 소사구, 인천 부평구","-"
"127","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","84.9500","202408","26","40,000","-","6","개인","개인","1999","원적로 361","20240905","중개거래","인천 부평구","-"
"128","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","84.7388","202408","26","60,000","-","10","개인","개인","2020","동수로 80","-","중개거래","인천 부평구","-"
"129","인천광역시 부평구 부평동","377-37","0377","0037","카리스뷰(2차)","46.7400","202408","26","19,800","-","6","개인","개인","2015","장제로 163","-","중개거래","경기 부천시 오정구, 인천 부평구","-"
"130","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","84.8500","202408","26","43,600","-","25","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"131","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","25","19,100","-","9","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","-"
"132","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202408","25","56,000","-","1","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"133","인천광역시 부평구 산곡동","307","0307","0000","현대1차","131.1600","202408","25","55,000","-","13","개인","개인","1985","경원대로 1269","-","중개거래","인천 부평구","-"
"134","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202408","25","23,000","제506동","16","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","24.09.03"
"135","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202408","25","19,500","-","6","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
